id,name,status,dup_predict,dup_train,Prediction,AD,Confidence
DB00389,Carbimazole,"approved,investigational",,,Inactive,Inactive,0.86
DB00390,Digoxin,approved,,,Inactive,,0.5
DB00391,Sulpiride,"approved,investigational",,,Inactive,Inactive,0.72
DB00392,Profenamine,approved,,,Inactive,Inactive,0.81
DB00393,Nimodipine,"approved,investigational",,,Inactive,Inactive,0.79
DB00394,Beclomethasone dipropionate,"approved,investigational",,,Inactive,,0.65
DB00395,Carisoprodol,approved,,,Inactive,,0.65
DB00396,Progesterone,"approved,vet_approved",,,Inactive,,0.66
DB00397,Phenylpropanolamine,"approved,vet_approved,withdrawn",,,Inactive,Inactive,0.9
DB00398,Sorafenib,"approved,investigational",,,Inactive,Inactive,0.84
DB00399,Zoledronic acid,approved,,,Inactive,Inactive,0.72
DB00400,Griseofulvin,"approved,investigational,vet_approved",,,Inactive,Inactive,0.73
DB00401,Nisoldipine,approved,,,Inactive,,0.65
DB00402,Eszopiclone,"approved,investigational",,,Inactive,,0.66
DB00403,Ceruletide,approved,,,Active,,0.52
DB00404,Alprazolam,"approved,illicit,investigational",,,Inactive,Inactive,0.76
DB00405,Dexbrompheniramine,approved,,,Inactive,Inactive,0.73
DB00406,Gentian violet cation,approved,,,Active,,0.61
DB00408,Loxapine,approved,,,Inactive,Inactive,0.85
DB00409,Remoxipride,"approved,withdrawn",,,Inactive,,0.64
DB00410,Mupirocin,"approved,investigational,vet_approved",,,Active,,0.51
DB00411,Carbamoylcholine,approved,,,Inactive,Inactive,0.88
DB00412,Rosiglitazone,"approved,investigational",,,Inactive,,0.64
DB00413,Pramipexole,"approved,investigational",,,Inactive,Inactive,0.91
DB00414,Acetohexamide,"approved,investigational,withdrawn",,,Inactive,Inactive,0.88
DB00415,Ampicillin,"approved,vet_approved",,,Inactive,Inactive,0.8
DB00416,Metocurine iodide,"approved,withdrawn",,,Inactive,,0.6
DB00417,Phenoxymethylpenicillin,"approved,vet_approved",,,Inactive,Inactive,0.86
DB00418,Secobarbital,"approved,vet_approved",,,Inactive,Inactive,0.74
DB00419,Miglustat,approved,,,Inactive,Inactive,0.8
DB00420,Promazine,"approved,vet_approved",,,Inactive,Inactive,0.74
DB00421,Spironolactone,approved,,,Inactive,Inactive,0.73
DB00422,Methylphenidate,"approved,investigational",,,Inactive,Inactive,0.76
DB00423,Methocarbamol,"approved,vet_approved",,,Inactive,Inactive,0.86
DB00424,Hyoscyamine,approved,,,Inactive,Inactive,0.75
DB00425,Zolpidem,approved,,,Inactive,Inactive,0.75
DB00426,Famciclovir,"approved,investigational",,,Inactive,Inactive,0.77
DB00427,Triprolidine,approved,,,Inactive,Inactive,0.87
DB00428,Streptozocin,"approved,investigational",,,Inactive,Inactive,0.74
DB00429,Carboprost tromethamine,approved,,,Inactive,,0.67
DB00430,Cefpiramide,approved,,,Inactive,,0.63
DB00431,Lindane,"approved,withdrawn",,,Inactive,Inactive,0.86
DB00432,Trifluridine,"approved,investigational",,,Inactive,Inactive,0.71
DB00433,Prochlorperazine,"approved,vet_approved",,,Inactive,Inactive,0.73
DB00434,Cyproheptadine,approved,,,Inactive,Inactive,0.83
DB00435,Nitric Oxide,approved,,,Inactive,Inactive,0.86
DB00436,Bendroflumethiazide,approved,,,Inactive,Inactive,0.71
DB00437,Allopurinol,approved,,,Inactive,Inactive,0.78
DB00438,Ceftazidime,approved,,,Inactive,,0.67
DB00439,Cerivastatin,"approved,withdrawn",,,Inactive,,0.63
DB00440,Trimethoprim,"approved,vet_approved",,,Active,,0.52
DB00441,Gemcitabine,approved,,,Inactive,Inactive,0.72
DB00442,Entecavir,"approved,investigational",,,Active,,0.51
DB00443,Betamethasone,"approved,vet_approved",,,Inactive,,0.66
DB00444,Teniposide,approved,,,Inactive,Inactive,0.71
DB00445,Epirubicin,approved,,,Inactive,,0.64
DB00446,Chloramphenicol,"approved,vet_approved",,,Inactive,Inactive,0.9
DB00447,Loracarbef,"approved,investigational,withdrawn",,,Inactive,,0.65
DB00448,Lansoprazole,"approved,investigational",,,Inactive,Inactive,0.71
DB00449,Dipivefrin,approved,,,Inactive,Inactive,0.71
DB00450,Droperidol,"approved,vet_approved",,,Inactive,,0.62
DB00451,Levothyroxine,approved,,,Inactive,Inactive,0.76
DB00452,Framycetin,approved,,,Inactive,Inactive,0.72
DB00453,Clomocycline,experimental,,,Active,,0.51
DB00454,Meperidine,approved,,,Inactive,Inactive,0.82
DB00455,Loratadine,"approved,investigational",,,Inactive,Inactive,0.79
DB00456,Cefalotin,"approved,investigational,vet_approved",,,Inactive,Inactive,0.81
DB00457,Prazosin,approved,,,Inactive,,0.64
DB00458,Imipramine,approved,,,Inactive,,0.63
DB00459,Acitretin,approved,,,Inactive,Inactive,0.81
DB00460,Verteporfin,"approved,investigational",,,Inactive,,0.55
DB00461,Nabumetone,approved,,,Inactive,Inactive,0.79
DB00462,Methscopolamine bromide,approved,,,Inactive,Inactive,0.71
DB00463,Metharbital,withdrawn,,,Inactive,Inactive,0.83
DB00464,Sodium tetradecyl sulfate,"approved,investigational",,,Inactive,Inactive,0.83
DB00465,Ketorolac,approved,,,Inactive,Inactive,0.8
DB00466,Picrotoxin,experimental,,,Inactive,Inactive,0.78
DB00467,Enoxacin,"approved,investigational",,,Active,,0.54
DB00468,Quinine,approved,,,Inactive,Inactive,0.78
DB00469,Tenoxicam,approved,,,Inactive,Inactive,0.82
DB00470,Dronabinol,"approved,illicit",,,Inactive,Inactive,0.7
DB00471,Montelukast,approved,,,Inactive,Inactive,0.72
DB00472,Fluoxetine,"approved,vet_approved",,,Inactive,Inactive,0.79
DB00473,Hexylcaine,"approved,withdrawn",,,Inactive,Inactive,0.83
DB00474,Methohexital,approved,,,Inactive,Inactive,0.74
DB00475,Chlordiazepoxide,"approved,illicit,investigational",,,Inactive,,0.67
DB00476,Duloxetine,approved,,,Inactive,,0.68
DB00477,Chlorpromazine,"approved,investigational,vet_approved",,,Inactive,,0.68
DB00478,Rimantadine,"approved,investigational",,,Inactive,Inactive,0.82
DB00479,Amikacin,"approved,investigational,vet_approved",,,Inactive,Inactive,0.71
DB00480,Lenalidomide,approved,,,Inactive,Inactive,0.76
DB00481,Raloxifene,"approved,investigational",,,Inactive,,0.64
DB00482,Celecoxib,"approved,investigational",,,Inactive,Inactive,0.78
DB00483,Gallamine triethiodide,approved,,,Inactive,Inactive,0.9
DB00484,Brimonidine,approved,,,Inactive,,0.69
DB00485,Dicloxacillin,"approved,investigational,vet_approved",,,Inactive,Inactive,0.7
DB00486,Nabilone,"approved,investigational",,,Inactive,,0.68
DB00487,Pefloxacin,approved,,,Inactive,,0.51
DB00488,Altretamine,approved,,,Inactive,,0.67
DB00489,Sotalol,approved,,,Inactive,Inactive,0.92
DB00490,Buspirone,"approved,investigational",,,Inactive,Inactive,0.77
DB00491,Miglitol,approved,,,Inactive,Inactive,0.76
DB00492,Fosinopril,approved,,,Inactive,,0.64
DB00493,Cefotaxime,approved,,,Inactive,,0.66
DB00494,Entacapone,"approved,investigational",,,Inactive,Inactive,0.71
DB00495,Zidovudine,approved,,,Inactive,Inactive,0.78
DB00496,Darifenacin,"approved,investigational",,,Inactive,Inactive,0.74
DB00497,Oxycodone,"approved,illicit,investigational",,,Inactive,Inactive,0.72
DB00498,Phenindione,"approved,investigational",,,Inactive,Inactive,0.7
DB00499,Flutamide,"approved,investigational",,,Inactive,Inactive,0.72
DB00500,Tolmetin,approved,,,Inactive,Inactive,0.9
DB00501,Cimetidine,"approved,investigational",,,Inactive,Inactive,0.85
DB00502,Haloperidol,approved,,,Inactive,,0.68
DB00503,Ritonavir,"approved,investigational",,,Active,,0.68
DB00504,Levallorphan,approved,,,Inactive,Inactive,0.85
DB00505,Tridihexethyl,withdrawn,,,Inactive,Inactive,0.72
DB00507,Nitazoxanide,"approved,investigational,vet_approved",,,Inactive,,0.58
DB00508,Triflupromazine,"approved,vet_approved",,,Inactive,,0.64
DB00509,Dextrothyroxine,"approved,investigational",DB00451,,Inactive,Inactive,0.76
DB00511,Acetyldigitoxin,approved,,,Inactive,,0.52
DB00512,Vancomycin,approved,,,Active,,0.66
DB00513,Aminocaproic acid,"approved,investigational",,,Inactive,Inactive,0.73
DB00514,Dextromethorphan,approved,,,Inactive,Inactive,0.85
DB00515,Cisplatin,approved,,,Inactive,Inactive,0.79
DB00517,Anisotropine methylbromide,approved,,,Inactive,,0.69
DB00518,Albendazole,"approved,vet_approved",,,Inactive,Inactive,0.88
DB00519,Trandolapril,approved,,,Inactive,Inactive,0.7
