id,name,status,smiles
DB00104,Octreotide,"approved,investigational",C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccccc2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O
DB00106,Abarelix,"approved,investigational,withdrawn",CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
DB00114,Pyridoxal phosphate,"approved,investigational,nutraceutical",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00115,Cyanocobalamin,"approved,nutraceutical",C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
DB00116,Tetrahydrofolic acid,nutraceutical,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00117,Histidine,"investigational,nutraceutical",N[C@@H](Cc1c[nH]cn1)C(=O)O
DB00118,Ademetionine,"approved,investigational,nutraceutical",C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB00119,Pyruvic acid,"approved,investigational,nutraceutical",CC(=O)C(=O)O
DB00120,Phenylalanine,"approved,investigational,nutraceutical",N[C@@H](Cc1ccccc1)C(=O)O
DB00121,Biotin,"approved,investigational,nutraceutical",O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
DB00122,Choline,"approved,nutraceutical",C[N+](C)(C)CCO
DB00123,L-Lysine,"approved,nutraceutical",NCCCC[C@H](N)C(=O)O
DB00125,Arginine,"investigational,nutraceutical",N=C(N)NCCC[C@H](N)C(=O)O
DB00126,Ascorbic acid,"approved,nutraceutical",O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
DB00127,Spermine,"experimental,nutraceutical",NCCCNCCCCNCCCN
DB00128,Aspartic acid,"approved,nutraceutical",N[C@@H](CC(=O)O)C(=O)O
DB00129,Ornithine,"approved,nutraceutical",NCCC[C@H](N)C(=O)O
DB00130,L-Glutamine,"approved,investigational,nutraceutical",NC(=O)CC[C@H](N)C(=O)O
DB00131,Adenosine phosphate,"approved,investigational,nutraceutical",Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
DB00132,alpha-Linolenic acid,"approved,investigational,nutraceutical",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
DB00133,Serine,"investigational,nutraceutical",N[C@@H](CO)C(=O)O
DB00134,Methionine,"approved,nutraceutical",CSCC[C@H](N)C(=O)O
DB00135,Tyrosine,"approved,investigational,nutraceutical",N[C@@H](Cc1ccc(O)cc1)C(=O)O
DB00136,Calcitriol,"approved,nutraceutical",C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
DB00137,Lutein,"approved,investigational,nutraceutical",CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
DB00138,Cystine,"approved,nutraceutical",N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
DB00139,Succinic acid,"approved,nutraceutical",O=C(O)CCC(=O)O
DB00140,Riboflavin,"approved,investigational,nutraceutical,vet_approved",Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
DB00141,N-Acetylglucosamine,"approved,investigational,nutraceutical",CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00142,Glutamic acid,"approved,nutraceutical",N[C@@H](CCC(=O)O)C(=O)O
DB00143,Glutathione,"approved,investigational,nutraceutical",N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
DB00144,Phosphatidyl serine,"approved,investigational,nutraceutical",CCCC(=O)O[C@H](COC(=O)CC)COP(=O)(O)OC[C@H](N)C(=O)O
DB00145,Glycine,"approved,nutraceutical,vet_approved",NCC(=O)O
DB00146,Calcifediol,"approved,nutraceutical",C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O
DB00147,Pyridoxal,"experimental,nutraceutical",Cc1ncc(CO)c(C=O)c1O
DB00148,Creatine,"approved,investigational,nutraceutical",CN(CC(=O)O)C(=N)N
DB00149,Leucine,"investigational,nutraceutical",CC(C)C[C@H](N)C(=O)O
DB00150,Tryptophan,"approved,nutraceutical,withdrawn",N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
DB00151,Cysteine,"approved,nutraceutical",N[C@@H](CS)C(=O)O
DB00152,Thiamine,"approved,investigational,nutraceutical,vet_approved",Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
DB00153,Ergocalciferol,"approved,nutraceutical",C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
DB00154,Dihomo-gamma-linolenic acid,"investigational,nutraceutical",CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
DB00155,Citrulline,"approved,investigational,nutraceutical",NC(=O)NCCC[C@H](N)C(=O)O
DB00156,Threonine,"approved,nutraceutical",C[C@@H](O)[C@H](N)C(=O)O
DB00157,NADH,"approved,nutraceutical",NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
DB00158,Folic acid,"approved,nutraceutical,vet_approved",Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
DB00159,Icosapent,"approved,nutraceutical",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
DB00160,Alanine,nutraceutical,C[C@H](N)C(=O)O
DB00161,Valine,"approved,nutraceutical",CC(C)[C@H](N)C(=O)O
DB00162,Vitamin A,"approved,nutraceutical,vet_approved",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
DB00163,Vitamin E,"approved,nutraceutical,vet_approved",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
DB00165,Pyridoxine,"approved,investigational,nutraceutical,vet_approved",Cc1ncc(CO)c(CO)c1O
DB00166,Lipoic acid,"approved,investigational,nutraceutical",O=C(O)CCCC[C@@H]1CCSS1
DB00167,Isoleucine,"investigational,nutraceutical",CC[C@H](C)[C@H](N)C(=O)O
DB00168,Aspartame,"investigational,nutraceutical",COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
DB00169,Cholecalciferol,"approved,nutraceutical",C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C
DB00170,Menadione,"approved,nutraceutical",CC1=CC(=O)c2ccccc2C1=O
DB00171,ATP,"investigational,nutraceutical",Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
DB00172,Proline,nutraceutical,O=C(O)[C@@H]1CCCN1
DB00173,Adenine,"approved,nutraceutical",Nc1ncnc2nc[nH]c12
DB00174,Asparagine,"approved,investigational,nutraceutical",NC(=O)C[C@H](N)C(=O)O
DB00175,Pravastatin,approved,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
DB00176,Fluvoxamine,"approved,investigational",COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
DB00177,Valsartan,"approved,investigational",CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
DB00178,Ramipril,approved,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
DB00179,Masoprocol,"approved,investigational",C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1
DB00180,Flunisolide,"approved,investigational",CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DB00181,Baclofen,approved,NCC(CC(=O)O)c1ccc(Cl)cc1
DB00182,Amphetamine,"approved,illicit,investigational",CC(N)Cc1ccccc1
DB00183,Pentagastrin,approved,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
DB00184,Nicotine,approved,CN1CCC[C@H]1c1cccnc1
DB00185,Cevimeline,approved,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186,Lorazepam,approved,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
DB00187,Esmolol,approved,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
DB00188,Bortezomib,"approved,investigational",CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
DB00189,Ethchlorvynol,"approved,illicit,withdrawn",C#CC(O)(/C=C/Cl)CC
DB00190,Carbidopa,approved,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
DB00191,Phentermine,"approved,illicit",CC(C)(N)Cc1ccccc1
DB00192,Indecainide,approved,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
DB00193,Tramadol,"approved,investigational",COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
DB00194,Vidarabine,"approved,investigational",Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195,Betaxolol,"approved,investigational",CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
DB00196,Fluconazole,"approved,investigational",OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
DB00197,Troglitazone,"approved,investigational,withdrawn",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
DB00198,Oseltamivir,approved,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199,Erythromycin,"approved,investigational,vet_approved",CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200,Hydroxocobalamin,approved,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(O)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
DB00201,Caffeine,approved,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00202,Succinylcholine,approved,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,Sildenafil,"approved,investigational",CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
DB00204,Dofetilide,"approved,investigational",CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00205,Pyrimethamine,"approved,investigational,vet_approved",CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DB00206,Reserpine,"approved,investigational",COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
DB00207,Azithromycin,approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208,Ticlopidine,approved,Clc1ccccc1CN1CCc2sccc2C1
DB00209,Trospium,approved,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
DB00210,Adapalene,approved,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
DB00211,Midodrine,approved,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
DB00212,Remikiren,experimental,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
DB00213,Pantoprazole,approved,COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
DB00214,Torasemide,approved,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
DB00215,Citalopram,approved,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB00216,Eletriptan,"approved,investigational",CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
DB00217,Bethanidine,approved,C/N=C(\NC)NCc1ccccc1
DB00218,Moxifloxacin,"approved,investigational",COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
DB00219,Oxyphenonium,approved,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB00220,Nelfinavir,approved,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
DB00221,Isoetharine,approved,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
DB00222,Glimepiride,approved,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
DB00223,Diflorasone,approved,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DB00224,Indinavir,approved,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
DB00226,Guanadrel,approved,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,Lovastatin,"approved,investigational",CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DB00228,Enflurane,"approved,investigational,vet_approved",FC(F)OC(F)(F)C(F)Cl
DB00229,Cefotiam,"approved,investigational",CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
DB00230,Pregabalin,"approved,investigational",CC(C)C[C@H](CN)CC(=O)O
DB00231,Temazepam,"approved,investigational",CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
DB00232,Methyclothiazide,withdrawn,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB00233,Aminosalicylic acid,approved,Nc1ccc(C(=O)O)c(O)c1
DB00234,Reboxetine,"approved,experimental",CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1
DB00235,Milrinone,approved,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
DB00236,Pipobroman,approved,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
DB00237,Butabarbital,"approved,illicit",CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,Nevirapine,approved,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DB00239,Oxiconazole,approved,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB00240,Alclometasone,approved,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
DB00241,Butalbital,"approved,illicit",C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
DB00242,Cladribine,"approved,investigational",Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
DB00243,Ranolazine,"approved,investigational",COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
DB00244,Mesalazine,approved,Nc1ccc(O)c(C(=O)O)c1
DB00245,Benzatropine,approved,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2
DB00246,Ziprasidone,approved,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB00247,Methysergide,approved,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
DB00248,Cabergoline,approved,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB00249,Idoxuridine,"approved,investigational",O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
DB00250,Dapsone,"approved,investigational",Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
DB00251,Terconazole,approved,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
DB00252,Phenytoin,"approved,vet_approved",O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
DB00253,Medrysone,approved,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
DB00254,Doxycycline,"approved,investigational,vet_approved",C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
DB00255,Diethylstilbestrol,"approved,investigational",CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00256,Lymecycline,"approved,investigational",CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
DB00257,Clotrimazole,"approved,vet_approved",Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
DB00258,Calcium acetate,"approved,investigational",CC(=O)O
DB00259,Sulfanilamide,approved,Nc1ccc(S(N)(=O)=O)cc1
DB00260,Cycloserine,approved,N[C@@H]1CONC1=O
DB00261,Anagrelide,approved,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
DB00262,Carmustine,"approved,investigational",O=NN(CCCl)C(=O)NCCCl
DB00263,Sulfisoxazole,"approved,vet_approved",Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
DB00264,Metoprolol,"approved,investigational",COCCc1ccc(OCC(O)CNC(C)C)cc1
DB00265,Crotamiton,approved,CC=CC(=O)N(CC)c1ccccc1C
DB00266,Dicoumarol,approved,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
DB00267,Cefmenoxime,approved,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1
DB00268,Ropinirole,"approved,investigational",CCCN(CCC)CCc1cccc2c1CC(=O)N2
DB00269,Chlorotrianisene,"investigational,withdrawn",COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
DB00270,Isradipine,"approved,investigational",COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
DB00271,Diatrizoate,"approved,vet_approved",CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
DB00272,Betazole,approved,NCCc1ccn[nH]1
DB00273,Topiramate,approved,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
DB00274,Cefmetazole,"approved,investigational",CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
DB00275,Olmesartan,"approved,investigational",CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB00276,Amsacrine,"approved,investigational",COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
DB00277,Theophylline,approved,Cn1c(=O)c2[nH]cnc2n(C)c1=O
DB00278,Argatroban,"approved,investigational",CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
DB00279,Liothyronine,"approved,vet_approved",N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
DB00280,Disopyramide,approved,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
DB00281,Lidocaine,"approved,vet_approved",CCN(CC)CC(=O)Nc1c(C)cccc1C
DB00282,Pamidronic acid,approved,NCCC(O)(P(=O)(O)O)P(=O)(O)O
DB00283,Clemastine,"approved,investigational",CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
